date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2018-01-01,0.06189010994276534,0.060890109942765336,0.25,2,True,0.001,1.4271380844400083,-0.03461765056607524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2018-02-01,-0.03832351791227098,-0.03832351791227098,0.0,0,False,0.0,1.513948353572118,-0.02860872650431967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2018-03-01,-0.03689356362971674,-0.03689356362971674,0.0,0,False,0.0,1.455928526725744,-0.06583585737395503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2018-04-01,0.018337727029130085,0.018337727029130085,0.0,0,False,0.0,1.437832584393043,-0.07744671611044451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2018-05-01,0.04007947493775421,0.03907947493775421,0.25,2,True,0.001,1.4627349666733922,-0.06146865663482959,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,-0.014838193907357189,-0.01583819390735719,0.25,2,True,0.001,1.519839255494644,-0.024828960366948594,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.006571646556850552,0.005571646556850552,0.25,2,True,0.001,1.5012517188133059,-0.036755239678545104,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.04623178417466056,0.04523178417466056,0.25,2,True,0.001,1.5080966907906215,-0.03236331571997786,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2018-09-01,-0.003813975022756766,-0.003813975022756766,0.0,0,False,0.0,1.5805450771015501,-0.0010084829885170787,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2018-10-01,-0.07914867506674553,-0.08014867506674553,0.25,2,True,0.001,1.5729424007374888,-0.00581379307066221,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
