date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_dbc.us,w_efa.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_spy.us,w_tlt.us,w_vwo.us
2009-09-01,0.035100179362813615,0.032700179362813615,0.6,5,True,0.0024000000000000002,1.5920604545916501,-0.04042502485863675,0.0,0.0,0.05,0.5,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.0
2009-10-01,0.018756023757268973,0.01675602375726897,0.5,2,True,0.002,1.6446461779800512,-0.0296616724604275,0.0,0.0,0.05,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.5
2009-11-01,0.0773112564746452,0.0767112564746452,0.15000000000000002,4,True,0.0006000000000000001,1.655424795232097,-0.05914942075338758,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2009-12-01,0.001622138205008056,0.001622138205008056,0.0,0,False,0.0,1.782337721491082,0.0,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2010-01-01,-0.01847465438718177,-0.020474654387181768,0.5,2,True,0.002,1.658615194897912,-0.07349379529911992,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.5,0.0,0.0,0.05,0.0
2010-02-01,0.009002802101988817,0.006602802101988817,0.6,5,True,0.0024000000000000002,1.6208175861299283,-0.09460762517003751,0.0,0.0,0.05,0.0,0.2,0.5,0.15000000000000002,0.0,0.0,0.0,0.1,0.0
2010-03-01,0.053006399217457936,0.051006399217457934,0.5,2,True,0.002,1.6321386671290767,-0.088283643681204,0.0,0.0,0.05,0.0,0.2,0.0,0.15000000000000002,0.0,0.0,0.0,0.1,0.5
2010-04-01,0.0239271920410572,0.021927192041057197,0.5,2,True,0.002,1.715215155975376,-0.04187692884003358,0.0,0.0,0.05,0.0,0.2,0.0,0.15000000000000002,0.5,0.0,0.0,0.1,0.0
2010-05-01,-0.01861522691866718,-0.01861522691866718,0.0,0,False,0.0,1.755458715337203,-0.019396785427217567,0.0,0.0,0.05,0.0,0.2,0.0,0.15000000000000002,0.5,0.0,0.0,0.1,0.0
2010-06-01,0.006106501336015639,0.004106501336015639,0.5,2,True,0.002,1.7193348920988396,-0.03957563491009686,0.0,0.0,0.05,0.0,0.2,0.5,0.15000000000000002,0.0,0.0,0.0,0.1,0.0
2010-07-01,0.0028302819791005476,0.002230281979100548,0.15000000000000002,3,True,0.0006000000000000001,1.728796112506751,-0.034290575760188347,0.0,0.0,0.05,0.0,0.15000000000000002,0.5,0.05,0.0,0.0,0.0,0.25,0.0
2010-08-01,-0.01656025661160937,-0.01976025661160937,0.8,6,True,0.0032,1.7418988790237875,-0.02697134070547247,0.0,0.0,0.2,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.05,0.5
2010-09-01,0.018065251967115194,0.014865251967115195,0.8,6,True,0.0032,1.7021065916999534,-0.0491994025357162,0.0,0.0,0.05,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.2,0.0
2010-10-01,0.025961302904983753,0.023361302904983755,0.65,5,True,0.0026,1.7283501516559008,-0.03453969050159278,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2010-11-01,0.003626992697800771,0.003626992697800771,0.0,0,False,0.0,1.773220373468914,-0.009475082963965376,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.5
2010-12-01,0.01758066234106016,0.01558066234106016,0.5,2,True,0.002,1.776092527153447,-0.03286982968957575,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.5,0.0,0.05,0.0
2011-01-01,-0.0033977348765646294,-0.0033977348765646294,0.0,0,False,0.0,1.7790701904634683,-0.03124841189735994,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.5,0.0,0.05,0.0
2011-02-01,0.023459317393495927,0.023459317393495927,0.0,0,False,0.0,1.7730253816294745,-0.034539972954983345,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.0,0.5,0.0,0.05,0.0
2011-03-01,0.003434519335138198,0.001434519335138198,0.5,2,True,0.002,1.8109901081102366,-0.013867157870301683,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.5,0.0,0.0,0.05,0.0
2011-04-01,0.034740417991027284,0.034740417991027284,0.0,0,False,0.0,1.8172099886522854,-0.01048026555699244,0.0,0.0,0.15000000000000002,0.0,0.2,0.0,0.1,0.5,0.0,0.0,0.05,0.0
2011-05-01,-0.035209646633225435,-0.037209646633225436,0.5,2,True,0.002,1.8866449789735538,0.0,0.0,0.0,0.15000000000000002,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.0
2011-06-01,-0.022484378214182074,-0.025084378214182072,0.65,5,True,0.0026,1.81185334343997,-0.03964266534887495,0.0,0.0,0.05,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.2,0.0
2011-07-01,-0.016764309315680147,-0.019764309315680146,0.75,6,True,0.003,1.765801602754643,-0.0640519957732889,0.0,0.0,0.1,0.5,0.1,0.0,0.25,0.0,0.0,0.0,0.05,0.0
2011-08-01,0.06327560565343715,0.06047560565343715,0.7000000000000001,5,True,0.0028000000000000004,1.731337800852152,-0.08231923857020407,0.0,0.0,0.1,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
2011-09-01,-0.005207521055291785,-0.005207521055291785,0.0,0,False,0.0,1.840889248791762,-0.02425243259422638,0.0,0.0,0.1,0.0,0.2,0.5,0.05,0.0,0.0,0.0,0.15000000000000002,0.0
