date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_efa.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ijr.us,w_ivv.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2021-02-01,0.02493132331846499,0.023197989985131656,0.43333333333333346,6,True,0.0017333333333333337,2.6833228728465843,-0.029759612380808265,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.16666666666666669,0.1,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.31999999999999995
2021-03-01,0.00960107566338891,0.008434408996722244,0.2916666666666667,5,True,0.0011666666666666668,2.7470130710172382,-0.021895603617064108,0.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.09722222222222222,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.3333333333333333
2021-04-01,0.023111796839812793,0.022745130173146125,0.09166666666666667,2,True,0.00036666666666666667,2.7723704426648954,-0.012866830892620862,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.09,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.36
2021-05-01,0.009169604248650577,0.009169604248650577,0.0,0,False,0.0,2.8260249314671286,-0.009872663838029205,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.09,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.36
2021-06-01,0.023287924549658348,0.022554591216325016,0.18333333333333338,5,True,0.0007333333333333334,2.849847040146932,-0.001526339378446484,0.0,0.0,0.0,0.12222222222222225,0.0,0.0,0.0,0.12222222222222225,0.09,0.0,0.0,0.18333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.12222222222222225,0.36
2021-07-01,0.003495050979395009,0.0024876435719876017,0.25185185185185194,4,True,0.0010074074074074076,2.913276247347294,0.0,0.0,0.12592592592592597,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666666,0.0,0.12592592592592597,0.1888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.12592592592592597,0.3466666666666666
2021-08-01,0.024203223730029304,0.022943964470770045,0.3148148148148149,4,True,0.0012592592592592594,2.933953075278914,-0.00383807131472913,0.0,0.12592592592592597,0.0,0.0,0.0,0.0,0.1888888888888889,0.0,0.08666666666666666,0.0,0.12592592592592597,0.0,0.0,0.0,0.0,0.12592592592592597,0.0,0.0,0.0,0.3466666666666666
2021-09-01,-0.025969296075156818,-0.026347073852934597,0.09444444444444447,4,True,0.0003777777777777779,3.0000463898083076,-0.0010265038016068484,0.0,0.15740740740740744,0.0,0.0,0.0,0.0,0.09444444444444446,0.0,0.08666666666666666,0.0,0.15740740740740744,0.0,0.0,0.0,0.0,0.15740740740740744,0.0,0.0,0.0,0.3466666666666666
2021-10-01,0.043778908312808125,0.041890019423919234,0.47222222222222227,8,True,0.0018888888888888892,2.916617704200301,-0.03201504637996733,0.0,0.18055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.09722222222222222,0.3333333333333333
2021-11-01,-0.03148938527124754,-0.032222718604580876,0.1833333333333334,4,True,0.0007333333333333336,3.042071553624279,-0.0001831116826317425,0.0,0.2427777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.1527777777777778,0.0,0.0,0.1527777777777778,0.36
2021-12-01,0.0235040390951887,0.02155959465074426,0.4861111111111111,4,True,0.0019444444444444442,2.940549715412516,-0.050578122871381304,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2022-01-01,-0.0027747044534865845,-0.004108037786819918,0.33333333333333337,4,True,0.0013333333333333335,2.938705380065468,-0.05117360755850331,0.0,0.21111111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.4
2022-02-01,-0.01647812709328141,-0.01798923820439252,0.3777777777777779,4,True,0.0015111111111111115,2.922221455196652,-0.05649580932553011,0.0,0.08666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666666
2022-03-01,0.016829905357364394,0.016829905357364394,0.0,0,False,0.0,2.874068718663209,-0.07204299129250735,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2022-04-01,-0.03253402051797895,-0.03253402051797895,0.0,0,False,0.0,2.92243902318887,-0.05642556266025789,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2022-05-01,-0.004628562950215787,-0.004628562950215787,0.0,0,False,0.0,2.806998046310443,-0.09369824959733353,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2022-06-01,-0.04362652269634154,-0.04362652269634154,0.0,0,False,0.0,2.7940056791519634,-0.09789312430096275,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2022-07-01,0.0005421452997754761,-0.001457854700224524,0.5,3,True,0.002,2.666768701122779,-0.1389744125673964,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
