date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ief.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2011-05-01,-0.011285460640431899,-0.013685460640431898,0.6,2,True,0.0024,1.4421845854316295,-0.020050850273478082,0.0,0.0,0.0,0.0,0.4,0.6,0.0
2011-06-01,-0.03779114607434819,-0.04019114607434819,0.6,2,True,0.0024,1.4190727187249121,-0.03575511889250649,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-07-01,-0.04502179547378815,-0.049021795473788154,1.0,2,True,0.004,1.3599825569841706,-0.07590625789369887,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-08-01,0.10870320711565995,0.10470320711565995,1.0,2,True,0.004,1.293558685653887,-0.12104057488001863,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-09-01,0.13876014618722365,0.13876014618722365,0.0,0,False,0.0,1.4341726633767822,-0.025494866444940034,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-10-01,-0.03207307222601519,-0.03207307222601519,0.0,0,False,0.0,1.590291104320655,-0.01861857423564406,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-11-01,-0.018634951897583574,-0.018634951897583574,0.0,0,False,0.0,1.5392855828713885,-0.050094491585454426,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-12-01,0.02448576725234264,0.02448576725234264,0.0,0,False,0.0,1.5106010700779378,-0.0677959350420082,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-01-01,0.00041007651879620965,0.00041007651879620965,0.0,0,False,0.0,1.5348138700911087,-0.052854021492901304,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-02-01,0.041091812337777034,0.03709181233777703,1.0,2,True,0.004,1.5293014881750757,-0.05625575669057448,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-03-01,0.03422182897380588,0.03022182897380588,1.0,2,True,0.004,1.5857746849033088,-0.02140569296824768,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-04-01,-0.00777107413711664,-0.00777107413711664,0.0,0,False,0.0,1.6279848389153717,-0.005908182207625234,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-05-01,0.12188131360664589,0.11948131360664589,0.6,2,True,0.0024,1.6114568472827666,-0.01600062339857644,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-06-01,-0.030015122771852032,-0.030015122771852032,0.0,0,False,0.0,1.8078633246500149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-07-01,0.007672257375222369,0.0036722573752223688,1.0,2,True,0.004,1.7362962711267127,-0.03958653983821303,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-08-01,-0.008630347007638761,-0.01103034700763876,0.6,2,True,0.0024,1.7384368267960426,-0.03840251467428413,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-09-01,0.028942863257008344,0.024942863257008344,1.0,2,True,0.004,1.7251044709498462,-0.0457771627820317,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-01,-0.0014850285836539578,-0.005485028583653958,1.0,2,True,0.004,1.7608620628294884,-0.025998238461762857,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-11-01,0.016365588984884605,0.012365588984884605,1.0,2,True,0.004,1.7512141438049775,-0.03133488028250375,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-12-01,0.013217230976721738,0.013217230976721738,0.0,0,False,0.0,1.7780351981016367,-0.016499104850280943,0.0,0.0,0.0,0.0,0.4,0.6,0.0
2013-01-01,-0.013407743000755645,-0.017407743000755645,1.0,2,True,0.004,1.7442166956257288,-0.03520544288745253,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-02-01,-0.021394458268930716,-0.025394458268930716,1.0,2,True,0.004,1.7070915742326693,-0.055740801333449275,0.0,0.0,0.0,0.0,0.0,1.0,0.0
