date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2018-11-01,0.009460519475949836,0.007960519475949836,0.375,6,True,0.0015,1.2528100707780163,-0.0899034919806172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.125,0.0,0.0,0.0,0.125,0.0
2018-12-01,-0.018605788248248052,-0.019855788248248053,0.3125,6,True,0.00125,1.2571677053589922,-0.08673791396693808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.75,0.0625,0.0,0.0,0.0625,0.0625,0.0
2019-01-01,-0.007424841895073753,-0.011424841895073753,1.0,6,True,0.004,1.23330419725541,-0.10407341908518408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-02-01,-0.011480641158697222,-0.012480641158697223,0.25,5,True,0.001,1.2180312696277806,-0.11516834753870953,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0625,0.0625,0.0
2019-03-01,0.0231611795407273,0.0199111795407273,0.8125,7,True,0.00325,1.200134335359583,-0.12816947018423874,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
2019-04-01,0.01482859060435504,0.011828590604355042,0.75,7,True,0.003,1.224247069587316,-0.11065291621382634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2019-05-01,-0.020185245266423284,-0.021935245266423285,0.4375,6,True,0.00175,1.2402267265564915,-0.09904458838647845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.1875,0.25,0.0,0.1875,0.1875,0.0
2019-06-01,0.01084599708740526,0.00809599708740526,0.6875,8,True,0.00275,1.2155837227288204,-0.11694635358919891,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.75,0.0,0.0625,0.0,0.0
2019-07-01,0.006369542167364628,0.002869542167364628,0.875,7,True,0.0035,1.2210999675099277,-0.11293911000953316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2019-08-01,0.06327877930496453,0.06027877930496453,0.75,7,True,0.003,1.2251911817978187,-0.109967071450922,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0
2019-09-01,-0.020733318402909165,-0.020733318402909165,0.0,0,False,0.0,1.2989182937051384,-0.05640844460213201,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0
2019-10-01,0.0028348771008570306,0.0023348771008570306,0.125,2,True,0.0005,1.271351413438815,-0.07643424264811105,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.125,0.0,0.0
2019-11-01,-0.01020999348518209,-0.01270999348518209,0.625,6,True,0.0025,1.2717681496017956,-0.07613150711337957,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2019-12-01,0.05019636198316302,0.047196361983163015,0.75,6,True,0.003,1.2683614868601647,-0.078606257227124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0
2020-01-01,-0.030949605318369627,-0.03294960531836963,0.5,4,True,0.002,1.3046862781421347,-0.05221832622995093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25
2020-02-01,-0.025945413423755614,-0.027945413423755616,0.5,4,True,0.002,1.248053054100177,-0.09335919876975796,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2020-03-01,-0.05839805370297031,-0.060148053702970314,0.4375,6,True,0.00175,1.1705411870754148,-0.1496672387151029,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.1875,0.0,0.1875,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2020-04-01,0.006765234252473551,0.003765234252473551,0.75,5,True,0.003,1.096954273101448,-0.20312401959972615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-01,-0.009140454865963696,-0.010140454865963697,0.25,5,True,0.001,1.1032710502975087,-0.1985352339552261,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.75,0.0,0.0,0.0,0.0
2020-06-01,0.03033850803348681,0.02908850803348681,0.3125,6,True,0.00125,1.0918201677435182,-0.2068536602428237,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2020-07-01,0.07838607522986267,0.07738607522986267,0.25,5,True,0.001,1.1238194183110541,-0.18360799285872753,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2020-08-01,0.040859997122508394,0.040859997122508394,0.0,0,False,0.0,1.2027485865495784,-0.12627036278193093,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2020-09-01,-0.030728131193971255,-0.030728131193971255,0.0,0,False,0.0,1.2518928903350957,-0.09056977231934993,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2020-10-01,-0.01360546637965332,-0.015355466379653319,0.4375,6,True,0.00175,1.211301068377699,-0.12005746265586625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.061671096867570385,0.059921096867570384,0.4375,6,True,0.00175,1.1834280370241652,-0.14030566235864517,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.1875
2020-12-01,0.026953808247642486,0.025953808247642485,0.25,5,True,0.001,1.2529584096602686,-0.08979573207200042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2021-01-01,0.07357842801377967,0.07157842801377967,0.5,4,True,0.002,1.29118842314227,-0.0620237636124108,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.027329640814547085,0.026329640814547084,0.25,2,True,0.001,1.3820362338579848,-0.024585570562370873,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2021-03-01,-0.012327054243698204,-0.013327054243698205,0.25,2,True,0.001,1.4183869809342906,-0.033482695764435966,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2021-04-01,0.041215118819314056,0.039215118819314054,0.5,4,True,0.002,1.3981006427863942,-0.0473062129872186,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-01,0.020841799962906082,0.020841799962906082,0.0,0,False,0.0,1.4438274687189356,-0.016147037722893276,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-01,0.002504700620563405,0.002504700620563405,0.0,0,False,0.0,1.4739194320029243,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-07-01,-0.00351164252604938,-0.00451164252604938,0.25,2,True,0.001,1.476133547760003,-0.007268715819436999,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2021-08-01,0.024404674865705134,0.023404674865705133,0.25,2,True,0.001,1.479743556925631,-0.004840907684911633,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2021-09-01,-0.03905823390162272,-0.04005823390162272,0.25,2,True,0.001,1.5128260207386066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2021-10-01,0.05503478929333322,0.05303478929333322,0.5,4,True,0.002,1.4508302327518006,-0.043842183083664166,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2021-11-01,-0.03224304572788163,-0.03399304572788163,0.4375,6,True,0.00175,1.5279976852660975,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.25,0.0,0.1875,0.0,0.0
2021-12-01,0.011710305692491346,0.010210305692491347,0.375,6,True,0.0015,1.4765122904489238,-0.051167146864014135,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.5,0.0,0.125,0.0,0.0
2022-01-01,-0.020474657625542007,-0.02247465762554201,0.5,6,True,0.002,1.4713780511093906,-0.05446649966502004,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.1875,0.0,0.0,0.1875,0.0,0.0
2022-02-01,0.004373571036811706,0.0036235710368117064,0.1875,2,True,0.00075,1.4372908079078148,-0.076371563667337,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0,0.1875,0.1875,0.0
2022-03-01,-0.004414001064762772,-0.0066640010647627725,0.5625,6,True,0.00225,1.4403288533287038,-0.07441926206896543,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0625,0.0625,0.0
2022-04-01,-0.014217592100714688,-0.015217592100714689,0.25,5,True,0.001,1.4325372689962657,-0.07942627165528526,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.125,0.0
2022-05-01,0.003983118423142064,0.002983118423142064,0.25,5,True,0.001,1.4165123699251752,-0.08972415458195981,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0625,0.0625,0.0
2022-06-01,-0.0020447208805207673,-0.0030447208805207673,0.25,5,True,0.001,1.419311619584054,-0.08792530735416837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0010842905995509522,0.0010842905995509522,0.0,0,False,0.0,1.4164095234795253,-0.08979024552281556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,-0.010005240495262968,-0.010005240495262968,0.0,0,False,0.0,1.417945323010949,-0.088803313642416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,-0.010349075474459735,-0.010349075474459735,0.0,0,False,0.0,1.4037584390450917,-0.09792005562791006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,-0.004430641056452078,-0.004430641056452078,0.0,0,False,0.0,1.3880340433967164,-0.10802482975231009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.008046546174795832,0.008046546174795832,0.0,0,False,0.0,1.38188416277629,-0.11197685156294535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,-0.019963783289119963,-0.021963783289119965,0.5,5,True,0.002,1.390217550385288,-0.10662166963016928,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0
