date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_lqda.uk,w_xres.uk
2022-08-01,-0.008964333396910273,-0.008964333396910273,0.0,0,False,0.0,1.2069699512480883,-0.056638782437828494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,-0.007698229407236301,-0.007698229407236301,0.0,0,False,0.0,1.196150270205048,-0.06509538690577099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,-0.003685027152831699,-0.003685027152831699,0.0,0,False,0.0,1.1844097652434507,-0.074271702392262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.006618649016935985,0.006618649016935985,0.0,0,False,0.0,1.1800451830984502,-0.07768303630509066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0019338619222586395,0.0019338619222586395,0.0,0,False,0.0,1.187855487989505,-0.07157854404002784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0065624396834587095,0.0065624396834587095,0.0,0,False,0.0,1.19038235133661,-0.06960356124839051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,-0.017003631875182522,-0.01780363187518252,0.19999999999999996,4,True,0.0007999999999999998,1.197235608386536,-0.06424709242478854,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.8,0.06666666666666665,0.0,0.06666666666666665,0.0,0.0
2023-03-01,0.019353590090962047,0.01855359009096205,0.19999999999999996,4,True,0.0007999999999999998,1.175936752229804,-0.08089416375901626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,-0.006168506684935588,-0.007768506684935588,0.39999999999999997,4,True,0.0015999999999999999,1.1961919043390454,-0.06506284589072797,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.6,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0
2023-05-01,0.006371429077524127,0.003971429077524128,0.6,5,True,0.0024,1.1951639841190536,-0.06586626280204844,0.0,0.4,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0
2023-06-01,-0.0072202166064982976,-0.011220216606498298,1.0,5,True,0.004,1.1950926484824398,-0.06592201835167244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.024330539582428923,0.021930539582428923,0.6,4,True,0.0024,1.1871450439418965,-0.07213382328378093,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.0
2023-08-01,0.00542052888564013,0.003553862218973463,0.4666666666666667,5,True,0.0018666666666666669,1.2108459811599115,-0.05360929832089267,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.8,0.06666666666666665,0.0,0.06666666666666665,0.0,0.0
2023-09-01,-0.02102733836776689,-0.02262733836776689,0.39999999999999997,4,True,0.0015999999999999999,1.2154615517260074,-0.050001793209042966,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.19999999999999998,0.0,0.19999999999999998,0.0,0.0
2023-10-01,-0.0010640157749900745,-0.002930682441656741,0.4666666666666666,5,True,0.0018666666666666664,1.1981387253279119,-0.06354122108429971,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.0,0.8,0.0,0.0,0.06666666666666665,0.0,0.0
2023-11-01,0.01229430679024035,0.01149430679024035,0.19999999999999996,4,True,0.0007999999999999998,1.1936740371087444,-0.06703079736589146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
