date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_ief.us,w_lqd.us,w_shy.us,w_spy.us,w_vea.us,w_vwo.us
2014-06-01,0.02024700234094806,0.02024700234094806,0.0,0,False,0.0,1.479332682232074,-0.0026834984483479207,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-07-01,-0.011943209429859603,-0.011943209429859603,0.0,0,False,0.0,1.509284734512268,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-08-01,0.0225542805550904,0.0225542805550904,0.0,0,False,0.0,1.4912590308386984,-0.020345511670805227,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-09-01,-0.04244616614532573,-0.04244616614532573,0.0,0,False,0.0,1.5251669694738195,-0.0028900825591758883,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-10-01,0.013784054366000387,0.011784054366000387,0.5,3,True,0.002,1.4575086199303944,-0.050448662549854695,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2014-11-01,0.0023340069356607984,0.0003340069356607984,0.5,3,True,0.002,1.478391984556422,-0.03684337298933704,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2014-12-01,0.006934062627680204,0.004934062627680204,0.5,3,True,0.002,1.4759211188254406,-0.038453115688234396,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-01-01,0.018268869633870033,0.018268869633870033,0.0,0,False,0.0,1.459039972052107,-0.049451002957729084,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-02-01,0.028124336216271223,0.02612433621627122,0.5,3,True,0.002,1.4823173224803807,-0.034286057152798866,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2015-03-01,-0.006366246045259288,-0.008366246045259288,0.5,3,True,0.002,1.5203251367852932,-0.009524371071992,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
2015-04-01,0.030458690264615035,0.028458690264615033,0.5,3,True,0.002,1.504609829989634,-0.01976272601700102,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2015-05-01,-0.013164036080784008,-0.015164036080784008,0.5,3,True,0.002,1.5473373982208425,-0.011296442516031568,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25
2015-06-01,-0.016636865346774554,-0.020636865346774554,1.0,4,True,0.004,1.5208603201099906,-0.028214524732670276,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.001646679972916898,-0.002353320027083102,1.0,2,True,0.004,1.489575739866056,-0.0482044608753216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-08-01,-0.020680418372621967,-0.024680418372621967,1.0,4,True,0.004,1.4915421554114718,-0.04694797858032895,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-09-01,0.012341228653527825,0.010341228653527825,0.5,3,True,0.002,1.4519439465509745,-0.07225008141542066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.01791357236795607,0.01591357236795607,0.5,3,True,0.002,1.4669229933498904,-0.06267890652180297,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2015-11-01,0.002413088552282866,-0.0005869114477171341,0.75,4,True,0.003,1.4914780220035904,-0.046988957961166644,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
2015-12-01,-0.018786359301576017,-0.02078635930157602,0.5,3,True,0.002,1.4876106755542893,-0.049460079771344256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-01,0.004680758159145926,0.0006807581591459257,1.0,2,True,0.004,1.4601419536296312,-0.06701179352018438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-01,0.012166982193567766,0.008166982193567766,1.0,4,True,0.004,1.4552641844170535,-0.07012854606465624,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
2016-03-01,0.04585245576718666,0.04385245576718666,0.5,3,True,0.002,1.4700244171201209,-0.06069718700903348,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-04-01,0.013954990559088498,0.013954990559088498,0.0,0,False,0.0,1.5374286466828053,-0.01762784632437142,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-05-01,-0.007809912419196291,-0.007809912419196291,0.0,0,False,0.0,1.5536534460369589,-0.01568965067479622,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-06-01,0.024210066313427536,0.022210066313427534,0.5,3,True,0.002,1.538436509596241,-0.025330274239741657,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0
2016-07-01,0.026823865486818366,0.024823865486818364,0.5,3,True,0.002,1.5725307951935388,-0.0037299886343047373,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
2016-08-01,0.009731475688270874,0.009731475688270874,0.0,0,False,0.0,1.6147121497176904,-0.003323264311246299,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25
