date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_qqq.us,w_vt.us
2013-11-01,0.026093218507006015,0.026093218507006015,0.0,0,False,0.0,1.2771067209380464,-0.005079796312920659,0.0,0.0,0.0,0.8,0.2,0.0
2013-12-01,0.023178986128709413,0.020778986128709414,0.6000000000000001,2,True,0.0024000000000000002,1.3133860590148085,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2014-01-01,-0.037008412524783686,-0.037008412524783686,0.0,0,False,0.0,1.298244367552701,-0.03673496811065413,0.0,0.0,0.0,0.2,0.8,0.0
2014-02-01,0.06708518238097394,0.06708518238097394,0.0,0,False,0.0,1.2794178013970927,-0.05070381195970142,0.0,0.0,0.0,0.2,0.8,0.0
2014-03-01,0.0021401232688199826,0.0021401232688199826,0.0,0,False,0.0,1.3752157844911415,-0.0004695323807191176,0.0,0.0,0.0,0.2,0.8,0.0
2014-04-01,-0.013961170359671283,-0.013961170359671283,0.0,0,False,0.0,1.378158915791179,-0.01291835103686878,0.0,0.0,0.0,0.2,0.8,0.0
2014-05-01,0.03754392717384301,0.03754392717384301,0.0,0,False,0.0,1.3589182043851187,-0.026699166096948224,0.0,0.0,0.0,0.2,0.8,0.0
2014-06-01,0.040138844950941846,0.040138844950941846,0.0,0,False,0.0,1.410714165646706,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2014-07-01,-0.006862527942056574,-0.006862527942056574,0.0,0,False,0.0,1.4673386028116964,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2014-08-01,0.05401131991742303,0.05401131991742303,0.0,0,False,0.0,1.4572689506494432,-0.02723882273819067,0.0,0.0,0.0,0.2,0.8,0.0
2014-09-01,-0.026231311633029653,-0.026231311633029653,0.0,0,False,0.0,1.5325045495917962,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2014-10-01,0.04453917702510775,0.04453917702510775,0.0,0,False,0.0,1.4923049451724182,-0.029081917833926663,0.0,0.0,0.0,0.2,0.8,0.0
2014-11-01,0.028420903158351732,0.028420903158351732,0.0,0,False,0.0,1.554937230964311,0.0,0.0,0.0,0.0,0.2,0.8,0.0
