date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_iuit.uk,w_lqda.uk,w_vwra.uk,w_xres.uk
2022-06-01,-0.05669843898717373,-0.05669843898717373,0.0,0,False,0.0,1.2853974060929,-0.07491322754221941,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2022-07-01,0.0006684491978610207,-0.0013315508021389793,0.5,3,True,0.002,1.2100923449298915,-0.1291094750613221,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,-0.004482166698455137,-0.004482166698455137,0.0,0,False,0.0,1.2109012301871978,-0.12852732898850194,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,-0.0038491147036181506,-0.0038491147036181506,0.0,0,False,0.0,1.205473769018134,-0.13243341477312365,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,-0.0018425135764158496,-0.0018425135764158496,0.0,0,False,0.0,1.1995577603364633,-0.13669110298006826,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0033093245084679923,0.0033093245084679923,0.0,0,False,0.0,1.197347558877349,-0.1382817613434677,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0009669309611293198,0.0009669309611293198,0.0,0,False,0.0,1.2013099704990964,-0.13543005605688763,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.04015163043227643,0.03815163043227643,0.5,2,True,0.002,1.2025877126839235,-0.1345104786653416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2023-02-01,-0.023431501932582543,-0.023831501932582544,0.09999999999999998,4,True,0.0003999999999999999,1.2478724742166551,-0.10191951987760672,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.4,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.5,0.0
2023-03-01,0.05107272881198699,0.04867272881198699,0.6,6,True,0.0024,1.2157082288504095,-0.1250677834366899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0026584231319159626,0.0018584231319159626,0.19999999999999998,4,True,0.0007999999999999999,1.2728089334692791,-0.08397301672053747,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.3,0.5666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
2023-05-01,0.008872455302925953,0.007272455302925953,0.39999999999999997,7,True,0.0015999999999999999,1.2723444931102836,-0.0843072694821081,0.0,0.2,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.09999999999999999,0.1,0.0,0.0,0.0
2023-06-01,-0.009408342001827118,-0.011408342001827118,0.5,5,True,0.002,1.2790163404560095,-0.07950561226844599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.1,0.0,0.0,0.0
2023-07-01,0.029861745580274567,0.027061745580274566,0.7,7,True,0.0028,1.2655090003714542,-0.08922670053584192,0.0,0.0,0.0,0.09999999999999999,0.2,0.0,0.0,0.2,0.0,0.0,0.09999999999999999,0.4,0.0,0.0,0.0
2023-08-01,-0.003059127141616336,-0.00399246047494967,0.23333333333333334,5,True,0.0009333333333333334,1.2984370633751177,-0.06552872558820622,0.0,0.0,0.0,0.033333333333333326,0.1,0.0,0.0,0.4,0.033333333333333326,0.0,0.033333333333333326,0.4,0.0,0.0,0.0
2023-09-01,-0.03865025324529403,-0.03945025324529403,0.19999999999999998,4,True,0.0007999999999999999,1.2934294073294166,-0.06913268211319823,0.0,0.0,0.0,0.09999999999999999,0.1,0.0,0.0,0.2,0.09999999999999999,0.0,0.09999999999999999,0.4,0.0,0.0,0.0
2023-10-01,-0.006040927207950778,-0.006974260541284111,0.2333333333333333,5,True,0.0009333333333333332,1.243514524991412,-0.10505588934918464,0.0,0.0,0.0,0.033333333333333326,0.13333333333333333,0.0,0.0,0.4,0.0,0.0,0.033333333333333326,0.4,0.0,0.0,0.0
2023-11-01,0.061941533163512946,0.06154153316351295,0.09999999999999998,4,True,0.0003999999999999999,1.2343550023125074,-0.11164789990725577,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2023-12-01,0.017876450241515233,0.017076450241515235,0.2,4,True,0.0008,1.309764193348897,-0.057376711231413524,0.0,0.0,0.0,0.06666666666666667,0.16666666666666669,0.0,0.0,0.3,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.0
2024-01-01,0.03012686765212762,0.029460200985460955,0.16666666666666663,5,True,0.0006666666666666665,1.3503418400783567,-0.028173412649235785,0.0,0.0,0.0,0.09999999999999999,0.1,0.0,0.0,0.2,0.09999999999999999,0.0,0.0,0.4,0.0,0.0,0.09999999999999999
2024-02-01,0.04485090204561626,0.04445090204561626,0.09999999999999999,2,True,0.00039999999999999996,1.3895400226151262,-0.01567138182866379,0.0,0.0,0.0,0.09999999999999999,0.2,0.0,0.0,0.2,0.09999999999999999,0.0,0.0,0.4,0.0,0.0,0.0
2024-03-01,0.019690047210478054,0.019290047210478053,0.09999999999999999,2,True,0.00039999999999999996,1.4512814011994775,0.0,0.0,0.0,0.0,0.09999999999999999,0.1,0.0,0.0,0.2,0.09999999999999999,0.0,0.09999999999999999,0.4,0.0,0.0,0.0
2024-04-01,-0.0306493286870723,-0.0306493286870723,0.0,0,False,0.0,1.4838627661207913,-0.00378340548792222,0.0,0.0,0.0,0.09999999999999999,0.1,0.0,0.0,0.2,0.09999999999999999,0.0,0.09999999999999999,0.4,0.0,0.0,0.0
2024-05-01,0.060687699184862345,0.060687699184862345,0.0,0,False,0.0,1.4383833684754466,-0.041073153873546375,0.0,0.0,0.0,0.09999999999999999,0.1,0.0,0.0,0.2,0.09999999999999999,0.0,0.09999999999999999,0.4,0.0,0.0,0.0
2024-06-01,0.041782688691379355,0.04098268869137935,0.2,5,True,0.0008,1.5082440068078413,-0.024908435959826503,0.0,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.13333333333333333,0.4,0.0,0.0,0.0
2024-07-01,-0.014829217737810268,-0.014829217737810268,0.0,0,False,0.0,1.5700054866176398,-0.011063984079227485,0.0,0.0,0.13333333333333333,0.0,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.13333333333333333,0.4,0.0,0.0,0.0
2024-08-01,0.02204704371625376,0.021513710382920426,0.13333333333333333,2,True,0.0005333333333333333,1.5458986141892133,-0.042262711253154284,0.0,0.0,0.0,0.13333333333333333,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.13333333333333333,0.4,0.0,0.0,0.0
2024-09-01,0.009478521125267177,0.009478521125267177,0.0,0,False,0.0,1.569185747758106,-0.027835532159876997,0.0,0.0,0.0,0.13333333333333333,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.13333333333333333,0.4,0.0,0.0,0.0
2024-10-01,0.014029593514575235,0.013496260181241901,0.13333333333333333,2,True,0.0005333333333333333,1.5832144763867564,-0.01914425292717281,0.0,0.0,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.4,0.0,0.0,0.0
2024-11-01,0.02128024131541689,0.020346907982083554,0.23333333333333334,4,True,0.0009333333333333333,1.603927934027046,-0.02105651705908984,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.1,0.23333333333333334,0.0,0.0,0.4,0.0,0.0,0.13333333333333333
2024-12-01,-0.00817771149114802,-0.009111044824481353,0.23333333333333334,5,True,0.0009333333333333334,1.6362123584786492,-0.0035949203082227266,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.16666666666666666,0.4,0.0,0.0,0.0
2025-01-01,-0.01364526545698115,-0.01604526545698115,0.6,6,True,0.0024,1.5675375385083736,-0.05417464762898039,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2025-02-01,-0.004557713112993981,-0.006157713112993981,0.4,4,True,0.0016,1.5666238831944739,-0.05472593162568595,0.0,0.0,0.13333333333333333,0.13333333333333333,0.1,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.4,0.0,0.0,0.0
2025-03-01,-0.013360058717527459,-0.014160058717527459,0.2,6,True,0.0007999999999999999,1.5478776084885437,-0.06603711330000328,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.4,0.0,0.0,0.0
2025-04-01,0.011651071326766467,0.0101844046600998,0.36666666666666664,5,True,0.0014666666666666667,1.5237380161521912,-0.08060253062924283,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3,0.16666666666666669,0.0,0.06666666666666667,0.4,0.0,0.0,0.0
2025-05-01,0.042386447059018284,0.04211978039235162,0.06666666666666667,2,True,0.0002666666666666666,1.54108013214263,-0.07013859431858571,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.3,0.16666666666666669,0.0,0.0,0.4,0.0,0.0,0.0
2025-06-01,0.04451633581880494,0.04384966915213827,0.16666666666666663,5,True,0.0006666666666666665,1.5927177449342245,-0.03898134154830557,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.09999999999999999,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0
2025-07-01,0.018296395695530685,0.017896395695530684,0.1,4,True,0.0004,1.6618456188810793,-0.0003576047024997919,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.1,0.23333333333333334,0.0,0.0,0.4,0.0,0.0,0.0
