date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_tlt.us,w_xlk.us
2017-01-01,0.01730787512926072,0.016641208462594054,0.16666666666666669,4,True,0.0006666666666666668,1.7449225743145929,-0.025346242509468264,0.0,0.05555555555555556,0.0,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.0,0.4
2017-02-01,0.027586525182177763,0.027586525182177763,0.0,0,False,0.0,1.7739400606901636,-0.009138072275903797,0.0,0.05555555555555556,0.0,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.0,0.4
2017-03-01,-0.0017362877780834059,-0.0024029544447500724,0.16666666666666669,4,True,0.0006666666666666668,1.8216616515775037,0.0,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-04-01,0.032147418945033514,0.032147418945033514,0.0,0,False,0.0,1.8190665096316523,-0.0014246015134611323,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-05-01,0.016873548186406375,0.015984659297517485,0.2222222222222222,5,True,0.0008888888888888889,1.8758758740920565,0.0,0.0,0.0,0.05555555555555556,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.0,0.4
2017-06-01,-0.018403162498058713,-0.01906982916472538,0.16666666666666669,4,True,0.0006666666666666668,1.9062568703412355,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-07-01,0.027264422908406305,0.026375534019517415,0.22222222222222224,5,True,0.0008888888888888889,1.8796724606641362,-0.021498949744859774,0.0,0.0,0.0,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.05555555555555556,0.4
2017-08-01,0.01202117414036012,0.011132285251471231,0.22222222222222224,5,True,0.0008888888888888889,1.9274894234123316,-0.001709824245965108,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-09-01,0.0052947779930823564,0.00462811132641569,0.16666666666666663,4,True,0.0006666666666666665,1.9493596693519233,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.0,0.4
2017-10-01,0.032203215198697434,0.031536548532030764,0.16666666666666663,4,True,0.0006666666666666665,1.9609887354396063,0.0,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-11-01,0.006077154909433427,0.006077154909433427,0.0,0,False,0.0,2.02278945177073,0.0,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.1,0.11111111111111112,0.16666666666666666,0.0,0.4
2017-12-01,0.015043522646141456,0.01437685597947479,0.16666666666666663,4,True,0.0006666666666666665,2.033725535113897,-0.007335694330516174,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.16666666666666666,0.0,0.0,0.4
2018-01-01,0.023193662213619605,0.02252699554695294,0.16666666666666666,2,True,0.0006666666666666666,1.9933532026586223,-0.030420869831782604,0.0,0.16666666666666666,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.16666666666666666,0.4
2018-02-01,-0.022000484247712865,-0.023333817581046197,0.3333333333333333,4,True,0.0013333333333333333,2.0355090037521526,-0.013093546820989621,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.1,0.0,0.0,0.0,0.4
2018-03-01,-0.02102246208976659,-0.021689128756433255,0.16666666666666663,4,True,0.0006666666666666665,1.989399668765706,-0.035449429386988696,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.1,0.0,0.16666666666666666,0.0,0.4
2018-04-01,0.021015569730918206,0.02034890306425154,0.16666666666666663,4,True,0.0006666666666666665,1.9707002819191015,-0.044515734431764487,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.1,0.0,0.0,0.0,0.4
2018-05-01,0.03404871983711674,0.03271538650378341,0.3333333333333333,4,True,0.0013333333333333333,2.0080932283175508,-0.026385949677199094,0.0,0.05555555555555556,0.05555555555555556,0.05555555555555556,0.0,0.1,0.0,0.3333333333333333,0.0,0.4
2018-06-01,-0.012808590658908246,-0.013697479547797134,0.22222222222222224,5,True,0.0008888888888888889,2.0746204842935194,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.0,0.1,0.0,0.16666666666666666,0.11111111111111112,0.4
2018-07-01,0.011489956772148124,0.01015662343881479,0.33333333333333337,4,True,0.0013333333333333335,2.0457396822196263,-0.02083116393766349,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2018-08-01,0.025708757002804776,0.025708757002804776,0.0,0,False,0.0,2.0664861492117503,-0.016050659431506298,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2018-09-01,0.00335060977549655,0.002683943108829883,0.16666666666666669,4,True,0.0006666666666666668,2.1237584578599638,-0.0007892107287593708,0.0,0.0,0.0,0.05555555555555556,0.0,0.1,0.05555555555555556,0.3333333333333333,0.05555555555555556,0.4
2018-10-01,-0.034781592279858276,-0.035448258946524945,0.16666666666666669,4,True,0.0006666666666666668,2.1280341249733135,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2018-11-01,-5.3025827044761616e-05,-5.3025827044761616e-05,0.0,0,False,0.0,2.054017709680868,-0.03579426793163487,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2018-12-01,-0.04712158320766002,-0.04712158320766002,0.0,0,False,0.0,2.0336334460645307,-0.04536313568298389,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4
2019-01-01,0.03863801856568185,0.03663801856568185,0.5,2,True,0.002,1.9366452617657435,-0.0908917417914108,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.4
2019-02-01,0.030350770928827396,0.029017437595494064,0.33333333333333337,4,True,0.0013333333333333335,2.0047738499495646,-0.05891053007402425,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-03-01,0.033833373258789025,0.033833373258789025,0.0,0,False,0.0,2.0656202818334872,-0.030347739148769315,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-04-01,0.023191626290954854,0.02274718184651041,0.11111111111111112,2,True,0.00044444444444444447,2.1345580695357564,0.0,0.0,0.0,0.0,0.11111111111111112,0.16666666666666666,0.1,0.11111111111111112,0.0,0.11111111111111112,0.4
2019-05-01,-0.03340224136074911,-0.03406890802741578,0.16666666666666669,4,True,0.0006666666666666668,2.1826059012857177,-0.0007152621569677109,0.0,0.0,0.0,0.05555555555555556,0.3333333333333333,0.1,0.05555555555555556,0.0,0.05555555555555556,0.4
2019-06-01,0.07150315519875039,0.0706142663098615,0.22222222222222227,5,True,0.0008888888888888891,2.1205810648928183,-0.029112726095887886,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-07-01,0.01038447537314039,0.009717808706473725,0.16666666666666663,4,True,0.0006666666666666665,2.268676100578845,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.1,0.0,0.0,0.16666666666666666,0.4
2019-08-01,0.01953406416947003,0.018867397502803362,0.16666666666666663,4,True,0.0006666666666666665,2.290706954933821,-0.011435208990146384,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-09-01,-0.001187429391335964,-0.001187429391335964,0.0,0,False,0.0,2.3385463264754462,-0.0007503377992883475,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-10-01,0.02808879996139249,0.02808879996139249,0.0,0,False,0.0,2.3357694678343894,-0.013573723213988753,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
2019-11-01,0.0071290139391751335,0.0071290139391751335,0.0,0,False,0.0,2.4013784291723175,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.16666666666666666,0.1,0.0,0.0,0.11111111111111112,0.4
