date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vnq.us,w_vwo.us,w_xle.us
2009-10-01,0.017537848303642193,0.016737848303642194,0.2,4,True,0.0008,1.0590664684955589,-0.09359866834966613,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.2,0.0,0.0,0.26666666666666666,0.0,0.0
2009-11-01,0.06226327451947909,0.06039660785281242,0.4666666666666667,4,True,0.0018666666666666669,1.0754276653368955,-0.07959594893069799,0.0,0.0,0.26666666666666666,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
2009-12-01,-0.013181172036506397,-0.014247838703173064,0.26666666666666666,2,True,0.0010666666666666665,1.1390385851240323,-0.02515458560015349,0.0,0.26666666666666666,0.26666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
2010-01-01,-0.041601836482339366,-0.043468503149006035,0.4666666666666667,4,True,0.0018666666666666669,1.099098150411765,-0.059337580045552785,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.2,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.013846963592731854,0.011446963592731854,0.6,6,True,0.0024,1.0488839737590179,-0.10231334968768824,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0
2010-03-01,0.04253540872491181,0.04093540872491181,0.4,5,True,0.0016,1.061706379425528,-0.09133930233861554,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.2,0.0,0.0,0.26666666666666666,0.0,0.0
2010-04-01,0.05122890102671433,0.05122890102671433,0.0,0,False,0.0,1.1068664942202389,-0.05268904817132525,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.2,0.0,0.0,0.26666666666666666,0.0,0.0
2010-05-01,-0.041535092170372885,-0.041535092170372885,0.0,0,False,0.0,1.1482460959094172,-0.017274343627321498,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.2,0.0,0.0,0.26666666666666666,0.0,0.0
2010-06-01,0.007373462535580223,0.004973462535580224,0.6,6,True,0.0024,1.097912259869193,-0.06035252367652777,0.0,0.0,0.19999999999999998,0.0,0.4,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.0,0.0
2010-07-01,0.0021330533688870288,0.00026638670222036234,0.4666666666666666,5,True,0.0018666666666666664,1.1039431271250946,-0.05519100995253956,0.0,0.0,0.06666666666666665,0.0,0.8,0.06666666666666665,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0
2010-08-01,0.0362549651292547,0.03358829846258803,0.6666666666666666,5,True,0.0026666666666666666,1.1129241651679438,-0.04750459452556022,0.0,0.0,0.26666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0
