date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_ief.us,w_qqq.us,w_shy.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us
2012-04-01,0.0007740346565503851,0.0007740346565503851,0.0,0,False,0.0,1.206832224797922,-0.0709327408745195,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2012-05-01,0.039337344968709775,0.03533734496870978,0.9999999999999999,4,True,0.003999999999999999,1.2029352893454994,-0.0739327561752191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,-0.008082217620756449,-0.008082217620756449,0.0,0,False,0.0,1.2502555697975184,-0.03750372954066117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.00565102998935707,0.00565102998935707,0.0,0,False,0.0,1.23451742928925,-0.04961957362014535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.00019339762013492745,0.00019339762013492745,0.0,0,False,0.0,1.241493724304548,-0.0442489453293744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.005214866241883054,0.0022148662418830537,0.75,4,True,0.003,1.2445763663275606,-0.04187580537144464,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25
2012-10-01,-0.018036379001524733,-0.02003637900152473,0.4999999999999999,5,True,0.0019999999999999996,1.2448188386777326,-0.04168914054997308,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2012-11-01,-0.0033028026859818205,-0.0043028026859818205,0.24999999999999997,4,True,0.0009999999999999998,1.221144447500788,-0.059914624813878437,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25
2012-12-01,0.052387622356884135,0.04938762235688413,0.7499999999999999,6,True,0.0029999999999999996,1.2175295815930915,-0.06269749180397066,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-01-01,0.008029931595500545,0.008029931595500545,0.0,0,False,0.0,1.2383617075507711,-0.04666009591118281,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-02-01,-0.0054829540874762606,-0.007482954087476261,0.4999999999999999,5,True,0.0019999999999999996,1.2458090560181847,-0.04092683201070091,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25
2013-03-01,0.006162289060541966,0.004162289060541966,0.5,5,True,0.002,1.2365003854779508,-0.04809301538500155,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
2013-04-01,0.017066845510600188,0.015733512177266856,0.3333333333333333,5,True,0.0013333333333333333,1.2424612315323689,-0.04350411993453873,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333
2013-05-01,-0.021661496407395602,-0.022994829740728934,0.3333333333333333,5,True,0.0013333333333333333,1.2619812372566104,-0.02847684618124513,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
2013-06-01,-0.012432224491067232,-0.015098891157733899,0.6666666666666667,4,True,0.002666666666666667,1.2290615476430196,-0.053819727463423006,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666
2013-07-01,0.011970173675822796,0.010970173675822797,0.24999999999999997,4,True,0.0009999999999999998,1.2093342828655045,-0.06900655744714967,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.0,0.08333333333333333
2013-08-01,-0.009171045477222861,-0.009171045477222861,0.0,0,False,0.0,1.2238102242635311,-0.057862404248739896,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.0,0.08333333333333333
2013-09-01,0.0023031531750066225,0.0013031531750066227,0.24999999999999997,4,True,0.0009999999999999998,1.213045066607902,-0.06614984910781607,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013-10-01,0.016817695178541592,0.014817695178541592,0.49999999999999994,4,True,0.0019999999999999996,1.2121938101966634,-0.06680518001840297,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666
2013-11-01,-0.0039477578325619045,-0.0046144244992285715,0.16666666666666666,2,True,0.0006666666666666666,1.2317583961164031,-0.05174358666442935,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666
2013-12-01,0.0037408493919484547,0.002407516058615121,0.33333333333333337,5,True,0.0013333333333333335,1.229030273094456,-0.05384380384994747,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.0,0.08333333333333333
2014-01-01,-0.01071443103796942,-0.01071443103796942,0.0,0,False,0.0,1.235471753460858,-0.048884897064270794,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.0,0.08333333333333333
2014-02-01,0.01857877025514337,0.015245436921810037,0.8333333333333333,4,True,0.0033333333333333327,1.2280777925247448,-0.054577061128041726,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2014-03-01,0.0003818610021781854,-0.0009514723311551479,0.3333333333333333,5,True,0.0013333333333333333,1.2445361188063866,-0.041906789507777265,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
2014-04-01,0.010679576235713011,0.008679576235713011,0.5,2,True,0.002,1.2408646407841972,-0.04473323874647406,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666
2014-05-01,0.02061593677657142,0.01961593677657142,0.25000000000000006,4,True,0.0010000000000000002,1.2528624327643392,-0.035496863149680036,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25
2014-06-01,0.028350741025607834,0.027350741025607833,0.25,2,True,0.001,1.2786091933820614,-0.015675986786793494,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25
2014-07-01,-0.011905677054781627,-0.013905677054781627,0.4999999999999999,5,True,0.0019999999999999996,1.3109167650795306,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2014-08-01,0.02387308904408055,0.02120642237741388,0.6666666666666666,5,True,0.0026666666666666666,1.2918552549929843,-0.023239750703841877,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
2014-09-01,-0.02744865186595548,-0.02744865186595548,0.0,0,False,0.0,1.325763666363633,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
2014-10-01,0.019719921453630974,0.018386588120297642,0.3333333333333333,5,True,0.0013333333333333333,1.2876540767077127,-0.03263045032165768,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2014-11-01,0.009591357630290592,0.00925802429695726,0.08333333333333333,2,True,0.0003333333333333333,1.3124450363249796,-0.014005867931978222,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
2014-12-01,0.008510912768695533,0.007510912768695533,0.24999999999999997,4,True,0.0009999999999999998,1.3232668968281425,-0.005875781978774697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.03641001660767307,0.03641001660767307,0.0,0,False,0.0,1.310984924130692,-0.02171944053272923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,-0.024161626979329342,-0.025161626979329343,0.24999999999999997,4,True,0.0009999999999999998,1.3604841661831182,0.0,0.0,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0
2015-03-01,0.011152370539490438,0.010819037206157105,0.08333333333333333,2,True,0.0003333333333333333,1.3323407645056196,-0.020686313282466062,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2015-04-01,-0.010451259796076463,-0.010451259796076463,0.0,0,False,0.0,1.3467504558887893,-0.010094722625739405,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2015-05-01,-0.007535664416786991,-0.008868997750120325,0.3333333333333333,5,True,0.0013333333333333333,1.3308983167044852,-0.02174655921328139,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0
2015-06-01,-0.01917993924434192,-0.020513272577675254,0.3333333333333333,5,True,0.0013333333333333333,1.3191079547987774,-0.030412857725807374,0.0,0.0,0.0,0.75,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
2015-07-01,0.001646679972916898,-0.002353320027083102,1.0,5,True,0.004,1.2886323141915332,-0.05281344228589413,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
