date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_rsp.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2013-06-01,-0.011139870953829345,-0.011139870953829345,0.0,0,False,0.0,1.4560266025084359,-0.01923149991711348,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-07-01,0.07128180090302294,0.07128180090302294,0.0,0,False,0.0,1.4398066540511496,-0.03015713444361745,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-08-01,-0.046917223222662174,-0.046917223222662174,0.0,0,False,0.0,1.5424386653040711,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-09-01,0.03290543438140592,0.03290543438140592,0.0,0,False,0.0,1.459469900258376,-0.053793035350913065,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-10-01,0.03249491943537064,0.03249491943537064,0.0,0,False,0.0,1.5074943912929648,-0.022657684164423375,0.0,0.0,0.0,0.5,0.0,0.0,0.5
2013-11-01,0.03278694852563235,0.03078694852563235,0.5,2,True,0.002,1.553367339487128,-0.009451704106071102,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2013-12-01,0.016670405311036363,0.016670405311036363,0.0,0,False,0.0,1.607385771716529,-0.0016488786629290653,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-01-01,-0.030510149965872146,-0.030510149965872146,0.0,0,False,0.0,1.571534954565983,-0.04587680909416181,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-02-01,0.06932627470661856,0.06932627470661856,0.0,0,False,0.0,1.5604356633616958,-0.05261550180338781,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-03-01,0.012301270033394651,0.012301270033394651,0.0,0,False,0.0,1.680443542944618,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-04-01,-0.00328966937064723,-0.00328966937064723,0.0,0,False,0.0,1.7011151327422542,-0.004345686236978286,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-05-01,0.026979572132302843,0.026979572132302843,0.0,0,False,0.0,1.695519026394127,-0.00895011189638506,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-06-01,0.01965556127213164,0.01965556127213164,0.0,0,False,0.0,1.7363963882717506,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2014-07-01,-0.026748961288494078,-0.02874896128849408,0.5,2,True,0.002,1.766985181406385,-0.000158753128878808,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2014-08-01,0.03212065356702953,0.03212065356702953,0.0,0,False,0.0,1.7197201631916035,-0.033504912704019785,0.0,0.0,0.5,0.0,0.0,0.0,0.5
2014-09-01,-0.04522685601515486,-0.04522685601515486,0.0,0,False,0.0,1.786556656499282,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
