date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2013-11-01,0.026796448103285367,0.026796448103285367,0.0,0,False,0.0,1.5636220434357864,-0.005143365659408983,0.0,0.0,0.0,0.2,0.0,0.8
2013-12-01,0.02651822338826513,0.02651822338826513,0.0,0,False,0.0,1.6103647184322576,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-01-01,-0.03909192625429623,-0.03909192625429623,0.0,0,False,0.0,1.609433052640859,-0.032229964576640735,0.0,0.0,0.0,0.2,0.0,0.8
2014-02-01,0.05642785975413816,0.05642785975413816,0.0,0,False,0.0,1.5802726012360109,-0.049764469067352324,0.0,0.0,0.0,0.2,0.0,0.8
2014-03-01,0.02628041299972437,0.02628041299972437,0.0,0,False,0.0,1.6862073717770498,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-04-01,-0.006328542887661381,-0.006328542887661381,0.0,0,False,0.0,1.7305215979105306,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-05-01,0.032780116298952056,0.032780116298952056,0.0,0,False,0.0,1.71956991776013,-0.007366046609151522,0.0,0.0,0.0,0.2,0.0,0.8
2014-06-01,0.0298139136854521,0.0298139136854521,0.0,0,False,0.0,1.7779496135501252,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-07-01,-0.0035459520787099125,-0.0035459520787099125,0.0,0,False,0.0,1.830957249865592,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-08-01,0.03933238799450271,0.03933238799450271,0.0,0,False,0.0,1.8244647631994022,-0.026481371690919908,0.0,0.0,0.0,0.2,0.0,0.8
2014-09-01,-0.021999250379002987,-0.021999250379002987,0.0,0,False,0.0,1.8959941162577305,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-10-01,0.03676844401931088,0.03676844401931088,0.0,0,False,0.0,1.8542836669770606,-0.02923143933906558,0.0,0.0,0.0,0.2,0.0,0.8
2014-11-01,0.029633011047229596,0.029633011047229596,0.0,0,False,0.0,1.9158787860671005,0.0,0.0,0.0,0.0,0.2,0.0,0.8
2014-12-01,-0.009378965058991452,-0.009378965058991452,0.0,0,False,0.0,1.9726520432997796,-0.010309590915397626,0.0,0.0,0.0,0.2,0.0,0.8
2015-01-01,-0.021948978254571604,-0.021948978254571604,0.0,0,False,0.0,1.8912222395115037,-0.05419417625404399,0.0,0.0,0.0,0.2,0.0,0.8
2015-02-01,0.07192837681976641,0.07192837681976641,0.0,0,False,0.0,1.8301957593729048,-0.08471369908532811,0.0,0.0,0.0,0.2,0.0,0.8
2015-03-01,-0.03961456269392512,-0.03961456269392512,0.0,0,False,0.0,1.9471349168970649,-0.026232081272466345,0.0,0.0,0.0,0.2,0.0,0.8
2015-04-01,0.03809397266431045,0.03809397266431045,0.0,0,False,0.0,1.8700000186581156,-0.06480747153823108,0.0,0.0,0.0,0.2,0.0,0.8
2015-05-01,0.007902684301489816,0.007902684301489816,0.0,0,False,0.0,1.9412357482511389,-0.029182272923140684,0.0,0.0,0.0,0.2,0.0,0.8
2015-06-01,-0.03258863748369487,-0.03258863748369487,0.0,0,False,0.0,1.9565767215243335,-0.02151020691176253,0.0,0.0,0.0,0.2,0.0,0.8
2015-07-01,0.01496284411235993,0.01496284411235993,0.0,0,False,0.0,1.8928145520375412,-0.053397856060210525,0.0,0.0,0.0,0.2,0.0,0.8
2015-08-01,-0.08174536886282398,-0.08174536886282398,0.0,0,False,0.0,1.9307279732701823,-0.03443724220383593,0.0,0.0,0.0,0.2,0.0,0.8
2015-09-01,0.01717053555051993,0.01717053555051993,0.0,0,False,0.0,1.7728999029214385,-0.11336752600008904,0.0,0.0,0.0,0.2,0.0,0.8
2015-10-01,0.11053615195133909,0.11053615195133909,0.0,0,False,0.0,1.803341543732065,-0.09814357158502784,0.0,0.0,0.0,0.2,0.0,0.8
2015-11-01,0.005974415482539008,0.005974415482539008,0.0,0,False,0.0,1.983615078935378,-0.00855521210571586,0.0,0.0,0.0,0.2,0.0,0.8
2015-12-01,-0.0418148912325792,-0.0418148912325792,0.0,0,False,0.0,1.9954660195743676,-0.0026319090148374524,0.0,0.0,0.0,0.2,0.0,0.8
2016-01-01,-0.023965826666997758,-0.023965826666997758,0.0,0,False,0.0,1.9287835007763923,-0.03622580330127645,0.0,0.0,0.0,0.2,0.0,0.8
2016-02-01,0.020089752914658556,0.020089752914658556,0.0,0,False,0.0,1.88255860971862,-0.05932344864548311,0.0,0.0,0.0,0.2,0.0,0.8
2016-03-01,0.0,-0.004,1.0,3,True,0.004,1.91269723204709,-0.04426378719953272,1.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-0.03947633558143302,-0.04347633558143302,1.0,3,True,0.004,1.9050464431189018,-0.04808673205073455,0.0,0.0,0.0,0.2,0.0,0.8
