date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2013-05-01,0.012798597418376103,0.010798597418376103,0.5,2,True,0.002,1.8292579762171721,-0.026825638048223244,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2013-06-01,-0.01918142940763025,-0.02118142940763025,0.5,2,True,0.002,1.841790702293737,-0.03435825296275319,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2013-07-01,0.05168493549858155,0.05168493549858155,0.0,0,False,0.0,1.8028495989061524,-0.05477488068267533,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2013-08-01,-0.02994638144266758,-0.02994638144266758,0.0,0,False,0.0,1.8960297641392612,-0.005920981359120003,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2013-09-01,0.04915401041442384,0.04715401041442384,0.5,2,True,0.002,1.8342582153845104,-0.03830749855808724,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2013-10-01,0.03129400562299656,0.03129400562299656,0.0,0,False,0.0,1.9205705240806508,-0.012075336348204124,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2013-11-01,0.025593769482827412,0.02359376948282741,0.5,2,True,0.002,1.9767115231228707,-0.011266884395194632,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2013-12-01,0.022699853665264547,0.022699853665264547,0.0,0,False,0.0,2.033130625392041,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2014-01-01,-0.04355384154401214,-0.04355384154401214,0.0,0,False,0.0,2.0425001204014084,-0.02307045034724009,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2014-02-01,0.05642785975413816,0.05642785975413816,0.0,2,True,0.0,1.9973244295973602,-0.04467802178952596,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
2014-03-01,0.024223974652041114,0.022223974652041116,0.5,2,True,0.002,2.1312165852798137,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4
2014-04-01,-0.0031642714438306907,-0.005164271443830691,0.5,2,True,0.002,2.174120480704851,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2014-05-01,0.024383828118510475,0.022383828118510474,0.5,2,True,0.002,2.1629064914056046,-0.01017299589271925,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4
2014-06-01,0.032825800725707975,0.030825800725707973,0.5,2,True,0.002,2.215064309986179,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2014-07-01,0.0035129589552025833,0.0035129589552025833,0.0,0,False,0.0,2.2832000184811725,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4
