date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_rsp.us,w_tlt.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2015-11-01,-0.003932952464032653,-0.0059329524640326535,0.5,3,True,0.002,1.7223997516972072,-0.07518442836031491,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.25,0.0,0.0,0.25
2015-12-01,-0.028567900264937014,-0.028567900264937014,0.0,0,False,0.0,1.7121943840790212,-0.08066404067348765,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.25,0.0,0.0,0.25
2016-01-01,0.011254270597453736,0.009254270597453736,0.5,4,True,0.002,1.6780765466971304,-0.09898307912571225,0.25,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.0
2016-02-01,0.018890215861670435,0.018890215861670435,0.0,0,False,0.0,1.693568150088427,-0.09066510530353766,0.25,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.25,0.0
2016-03-01,0.011883419748515258,0.010883419748515259,0.25,2,True,0.001,1.7238344580020275,-0.07441408527931981,0.5,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.007206718853475442,0.005206718853475442,0.5,3,True,0.002,1.7408308674305326,-0.06528812942269802,0.0,0.05,0.1,0.15000000000000002,0.0,0.2,0.0,0.0,0.25,0.25,0.0
2016-05-01,-0.005736352799689964,-0.006536352799689964,0.2,4,True,0.0008,1.7497003915224485,-0.06052577736989817,0.0,0.15000000000000002,0.2,0.1,0.0,0.05,0.0,0.0,0.25,0.25,0.0
2016-06-01,0.03678861495232752,0.036188614952327516,0.15000000000000002,3,True,0.0006000000000000001,1.7372287989315014,-0.06722220369014631,0.0,0.15000000000000002,0.05,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.25,0.25,0.0
2016-07-01,1.769244384424752e-05,-0.0005823075561557525,0.15000000000000002,3,True,0.0006000000000000001,1.800058356875307,-0.03348685654531913,0.0,0.1,0.2,0.05,0.0,0.15000000000000002,0.0,0.0,0.25,0.25,0.0
2016-08-01,-0.002073561578044237,-0.002473561578044237,0.1,3,True,0.0004,1.7993701682249799,-0.03385636866317754,0.0,0.05,0.15000000000000002,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.25,0.25,0.0
2016-09-01,-0.0051267652060111475,-0.0051267652060111475,0.0,0,False,0.0,1.7956390633794697,-0.0358597269759896,0.0,0.05,0.15000000000000002,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.25,0.25,0.0
2016-10-01,-0.022278790719259756,-0.024078790719259755,0.45000000000000007,6,True,0.0018000000000000002,1.7904672616451907,-0.038636644920027496,0.0,0.25,0.1,0.1,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2016-11-01,0.04669265202266666,0.04669265202266666,0.0,0,False,0.0,1.7474267761640914,-0.06174655952877617,0.0,0.25,0.1,0.1,0.0,0.05,0.25,0.0,0.25,0.0,0.0
2016-12-01,0.0197690799899057,0.0187690799899057,0.25,2,True,0.001,1.8271897477920536,-0.01891908110565943,0.0,0.25,0.1,0.1,0.0,0.05,0.25,0.25,0.0,0.0,0.0
2017-01-01,-0.0047009790813389955,-0.0047009790813389955,0.0,0,False,0.0,1.8443641927222982,-0.01505873908620281,0.0,0.25,0.1,0.1,0.0,0.05,0.25,0.25,0.0,0.0,0.0
