date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_tlt.us
2016-04-01,-0.01960510534341331,-0.01960510534341331,0.0,0,False,0.0,1.6592299254376368,-0.019002946422412736,0.0,1.0
2016-05-01,0.022057625649469337,0.022057625649469337,0.0,0,False,0.0,1.6438827661503712,-0.028076744942302834,0.0,1.0
2016-06-01,0.08015201745935152,0.08015201745935152,0.0,0,False,0.0,1.6801429168177304,-0.012193141419843179,0.0,1.0
2016-07-01,-0.003814491354747762,-0.003814491354747762,0.0,0,False,0.0,1.8148097612207106,0.0,0.0,1.0
2016-08-01,0.0017142431243943879,0.0017142431243943879,0.0,0,False,0.0,1.807887185076022,-0.02488303429479921,0.0,1.0
2016-09-01,-0.019512648809523747,-0.019512648809523747,0.0,0,False,0.0,1.8109863432527196,-0.02321144674085862,0.0,1.0
2016-10-01,-0.04055130807611307,-0.04055130807611307,0.0,0,False,0.0,1.7823696598711503,-0.038646377469906845,0.0,1.0
2016-11-01,-0.0917308471828131,-0.0917308471828131,0.0,0,False,0.0,1.7100922386881983,-0.07763052438721207,0.0,1.0
2016-12-01,0.010107903997770729,0.010107903997770729,0.0,0,False,0.0,1.5532240288725767,-0.16224025780073992,0.0,1.0
2017-01-01,-0.002317955371546443,-0.002317955371546443,0.0,0,False,0.0,1.5605939442779673,-0.15826515935049779,0.0,1.0
2017-02-01,0.005086290885288891,0.005086290885288891,0.0,0,False,0.0,1.5569765571620247,-0.1602162631457994,0.0,1.0
2017-03-01,0.02063875357188527,0.02063875357188527,0.0,0,False,0.0,1.5648957928333274,-0.15594487877942353,0.0,1.0
2017-04-01,-0.0027902490797442336,-0.0027902490797442336,0.0,0,False,0.0,1.5811715122699082,-0.14716627230293566,0.0,1.0
2017-05-01,0.027288968478047293,0.027288968478047293,0.0,0,False,0.0,1.5767596499128795,-0.14954589082681702,0.0,1.0
2017-06-01,0.004904767141760358,0.004904767141760358,0.0,0,False,0.0,1.6197877942968093,-0.1263378754495641,0.0,1.0
2017-07-01,0.003755741774342569,0.003755741774342569,0.0,0,False,0.0,1.6331299320059514,-0.11914154984564518,0.0,1.0
2017-08-01,0.018772640427970888,0.018772640427970888,0.0,0,False,0.0,1.639263546314516,-0.11583327296711743,0.0,1.0
2017-09-01,-0.017422519348908483,-0.017422519348908483,0.0,0,False,0.0,1.6700368514361592,-0.09923512892215303,0.0,1.0
2017-10-01,0.00603534888266144,0.00603534888266144,0.0,0,False,0.0,1.6440742242035862,-0.11323854600356631,0.0,1.0
2017-11-01,0.01611036235667429,0.01611036235667429,0.0,0,False,0.0,1.653996785735646,-0.10788663125300169,0.0,1.0
2017-12-01,-0.006338189458590104,-0.006338189458590104,0.0,0,False,0.0,1.6806432732906216,-0.0935143616192542,0.0,1.0
2018-01-01,-0.0362233368241196,-0.0362233368241196,0.0,0,False,0.0,1.6643000503804135,-0.10232937732687186,0.0,1.0
2018-02-01,-0.00936968074874256,-0.00936968074874256,0.0,0,False,0.0,1.6040135490790843,-0.13484600264907787,0.0,1.0
2018-03-01,0.023738648148226016,0.023738648148226016,0.0,0,False,0.0,1.588984454207556,-0.14295221940275438,0.0,1.0
2018-04-01,-0.026410710697163053,-0.026410710697163053,0.0,0,False,0.0,1.6234407932321824,-0.12436756376917257,0.0,1.0
2018-05-01,0.01814831001563877,0.01814831001563877,0.0,0,False,0.0,1.5805645681081546,-0.14749363871951693,0.0,1.0
2018-06-01,0.01136018072027456,0.01136018072027456,0.0,0,False,0.0,1.6092491438899148,-0.13202208898469503,0.0,1.0
2018-07-01,-0.022000836588151995,-0.022000836588151995,0.0,0,False,0.0,1.6288421422957118,-0.12145424752188594,0.0,1.0
2018-08-01,0.015759164000924253,0.015759164000924253,0.0,0,False,0.0,1.5930062524951674,-0.14078298905737252,0.0,1.0
2018-09-01,-0.030189254215057804,-0.030189254215057804,0.0,0,False,0.0,1.627609409009527,-0.12211914472978203,0.0,1.0
2018-10-01,-0.02132980897331782,-0.02132980897331782,0.0,0,False,0.0,1.5784730947981185,-0.148621713040067,0.0,1.0
2018-11-01,0.024356724321580536,0.024356724321580536,0.0,0,False,0.0,1.5448045652165523,-0.1667814492649532,0.0,1.0
